utterance,intent,word_count,language,framework,error_type,language.1,framework.1,error_type.1,language.2,framework.2,error_type.2,language.3,framework.3,error_type.3,language.4,framework.4,error_type.4,processed,label
create a websocket handler for real time notifications and updates,generate,10,,,,,,,,,,,,,,,,create websocket handler real time notification update,1
so basically i need to create a websocket handler for sending notifications in real time,generate,15,,,,,,,,,,,,,,,,need create websocket handler send notification real time,1
um so i have to build a websocket handler for real time data streaming using bash,generate,16,bash,,,bash,,,bash,,,,,,,,,build websocket handler real time data stream use bash,1
i am trying to generate a websocket handler for real time notifications but its not working,generate,16,,,,,,,,,,,,,,,,try generate websocket handler real time notification not work,1
so like i want to make a websocket handler for notifications and stuff and it needs to be real time,generate,20,,,,,,,,,,,,,,,,want make websocket handler notification stuff need real time,1
okay so i need to create a websocket handler that can handle real time notifications and updates and all that jazz,generate,21,,,,,,,,,,,,,,,,need create websocket handler handle real time notification update jazz,1
generate a websocket handler for real time data and notifications and make it work with my existing java code,generate,19,java,,,java,,,java,,,java,,,java,,,generate websocket handler real time data notification make work exist java code,1
write a terraform script to spin up an ec2 instance,generate,10,,terraform,,,terraform,,,terraform,,,,,,,,write terraform script spin ec2 instance,1
spin up ec2 instance with terraform,generate,6,,terraform,,,terraform,,,terraform,,,,,,,,spin ec2 instance terraform,1
create an ec2 instance using terraform script,generate,7,,terraform,,,terraform,,,terraform,,,,,,,,create ec2 instance use terraform script,1
terraform ec2 instance,generate,3,,terraform,,,terraform,,,terraform,,,,,,,,terraform ec2 instance,1
can you generate a terraform script to spin up an ec2 instance,generate,12,,terraform,,,terraform,,,terraform,,,,,,,,generate terraform script spin ec2 instance,1
i need a terraform script to create an ec2 instance with dart,generate,12,dart,terraform,,dart,terraform,,dart,terraform,,,,,,,,need terraform script create ec2 instance dart,1
generate terraform script for ec2 instance with react,generate,8,,terraform,,,terraform,,,terraform,,,react,,,react,,generate terraform script ec2 instance react,1
uh can you write a terraform script to spin up an ec2 instance for me,generate,15,,terraform,,,terraform,,,terraform,,,,,,,,write terraform script spin ec2 instance,1
i want to create an ec2 instance using terraform and pandas,generate,11,,terraform,,,terraform,,,terraform,,,,,,,,want create ec2 instance use terraform panda,1
so i need a terraform script to spin up an ec2 instance with sql database,generate,15,,terraform,,,terraform,,,terraform,,,,,,,,need terraform script spin ec2 instance sql database,1
um so how do i generate a terraform script to create an ec2 instance with react and dart,generate,18,dart,terraform,,dart,terraform,,dart,terraform,,,react,,,react,,how generate terraform script create ec2 instance react dart,1
okay so like i want to spin up an ec2 instance with terraform but i have no idea where to start,generate,21,,terraform,,,terraform,,,terraform,,,,,,,,want spin ec2 instance terraform no idea where start,1
i am trying to figure out how to generate a terraform script to create an ec2 instance but its really confusing,generate,21,,terraform,,,terraform,,,terraform,,,,,,,,try figure how generate terraform script create ec2 instance really confuse,1
generate a terraform script to spin up an ec2 instance and then maybe use pandas to analyze some data,generate,19,,terraform,,,terraform,,,terraform,,,,,,,,generate terraform script spin ec2 instance maybe use panda analyze data,1
so like i am thinking aloud here but can someone generate a terraform script to spin up an ec2 instance with react and then use sql to store some data,generate,30,,terraform,,,terraform,,,terraform,,,react,,,react,,think aloud someone generate terraform script spin ec2 instance react use sql store data,1
generate a github actions workflow for ci cd pipeline,generate,9,,,,,,,,,,,,,,,,generate github action workflow ci cd pipeline,1
generate github actions workflow for spring,generate,6,,spring,,,spring,,,spring,,,spring,,,spring,,generate github action workflow spring,1
can you create a github actions workflow for me,generate,9,,,,,,,,,,,,,,,,create github action workflow,1
make a ci cd pipeline,generate,5,,,,,,,,,,,,,,,,make ci cd pipeline,1
i need a github actions workflow for my flutter project,generate,10,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,need github action workflow flutter project,1
create a ci cd pipeline using github actions for react,generate,10,,react,,,react,,,react,,,react,,,react,,create ci cd pipeline use github action react,1
can you generate a github actions workflow for django,generate,9,,django,,,django,,,django,,,django,,,django,,generate github action workflow django,1
i want to create a github actions workflow for automated testing,generate,11,,,,,,,,,,,,,,,,want create github action workflow automate test,1
generate a workflow for ci cd pipeline using github actions,generate,10,,,,,,,,,,,,,,,,generate workflow ci cd pipeline use github action,1
how do i create a github actions workflow for spring and react,generate,12,,spring,,,spring,,,spring,,,spring,,,spring,,how create github action workflow spring react,1
i need help generating a github actions workflow for my project,generate,11,,,,,,,,,,,,,,,,need help generate github action workflow project,1
um so i need to create a github actions workflow for ci cd pipeline but i have no idea where to start,generate,22,,,,,,,,,,,,,,,,need create github action workflow ci cd pipeline no idea where start,1
so like i want to automate my testing and deployment using github actions workflow for my flutter app,generate,18,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,want automate test deployment use github action workflow flutter app,1
i am trying to generate a github actions workflow for ci cd pipeline but its not working out,generate,18,,,,,,,,,,,,,,,,try generate github action workflow ci cd pipeline not work,1
okay so i need to generate a github actions workflow for my django project but i am not sure what to do first,generate,23,,django,,,django,,,django,,,django,,,django,,need generate github action workflow django project not sure what first,1
write a pandas script to clean and normalize this csv file,generate,11,,,,,,,,,,,,,,,,write panda script clean normalize csv file,1
clean this csv file with pandas,generate,6,,,,,,,,,,,,,,,,clean csv file panda,1
write a script to normalize csv data,generate,7,,,,,,,,,,,,,,,,write script normalize csv data,1
create a pandas csv cleaner,generate,5,,,,,,,,,,,,,,,,create panda csv clean,1
can you write a pandas script to clean and normalize this csv file for me,generate,15,,,,,,,,,,,,,,,,write panda script clean normalize csv file,1
i need a pandas script to clean and normalize this csv data,generate,12,,,,,,,,,,,,,,,,need panda script clean normalize csv data,1
how do i write a pandas script to clean this csv file,generate,12,,,,,,,,,,,,,,,,how write pandas script clean csv file,1
i want to write a pandas script to normalize this csv file,generate,12,,,,,,,,,,,,,,,,want write panda script normalize csv file,1
can you help me write a pandas script to clean and normalize csv data using django,generate,16,,django,,,django,,,django,,,django,,,django,,help write pandas script clean normalize csv data use django,1
i need to write a pandas script to clean and normalize this huge csv file with react,generate,17,,react,,,react,,,react,,,react,,,react,,need write pandas script clean normalize huge csv file react,1
so basically i have this csv file and i need to clean and normalize it using pandas and typescript,generate,19,typescript,,,typescript,,,typescript,,,typescript,,,typescript,,,csv file need clean normalize use pandas typescript,1
um so i have this csv file and i need to write a pandas script to clean and normalize it with terraform,generate,22,,terraform,,,terraform,,,terraform,,,,,,,,csv file need write panda script clean normalize terraform,1
i am trying to write a pandas script to clean and normalize this csv file but its pretty tricky,generate,19,,,,,,,,,,,,,,,,try write panda script clean normalize csv file pretty tricky,1
ok so i am working on this project and i need to write a pandas script to clean and normalize this csv file and i have no idea where to start,generate,31,,,,,,,,,,,,,,,,ok work project need write pandas script clean normalize csv file no idea where start,1
i am thinking aloud here but maybe i can use pandas to clean and normalize this csv file and then use django to like make it work or something,generate,29,,django,,,django,,,django,,,django,,,django,,think aloud maybe use pandas clean normalize csv file use django make work something,1
create a flutter widget for a bottom navigation bar,generate,9,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,create flutter widget bottom navigation bar,1
make a bottom nav bar in flutter,generate,7,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,make bottom nav bar flutter,1
create a widget for bottom navigation,generate,6,,,,,,,,,,,,,,,,create widget bottom navigation,1
build bottom nav with flutter,generate,5,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,build bottom nav flutter,1
can you help me create a flutter widget for a bottom navigation bar,generate,13,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,help create flutter widget bottom navigation bar,1
i need to generate a bottom navigation bar in flutter using typescript,generate,12,typescript,flutter,,typescript,flutter,,typescript,flutter,,typescript,flutter,,typescript,flutter,,need generate bottom navigation bar flutter use typescript,1
how do i make a bottom nav bar in flutter with django backend,generate,13,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,how make bottom nav bar flutter django backend,1
create a custom bottom navigation bar widget in flutter,generate,9,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,create custom bottom navigation bar widget flutter,1
i want to build a bottom nav bar using flutter and spring,generate,12,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,want build bottom nav bar use flutter spring,1
generate a flutter widget for a bottom navigation bar with go backend,generate,12,go,flutter,,go,flutter,,go,flutter,,go,flutter,,go,flutter,,generate flutter widget bottom navigation bar go backend,1
so basically i need to create a bottom navigation bar in my flutter app,generate,14,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,need create bottom navigation bar flutter app,1
i am trying to create a custom bottom nav bar in flutter but its not working,generate,16,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,try create custom bottom nav bar flutter not work,1
um so i want to make a bottom navigation bar in flutter with multiple tabs,generate,15,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,want make bottom navigation bar flutter multiple tab,1
okay so like i am trying to figure out how to create a bottom nav bar in flutter and its kinda confusing,generate,22,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,try figure how create bottom nav bar flutter kinda confuse,1
so yeah i need to create a bottom navigation bar in my flutter app and i have no idea where to start or what to do,generate,26,,flutter,,,flutter,,,flutter,,,flutter,,,flutter,,yeah need create bottom navigation bar flutter app no idea where start what,1
refactor the authentication module to use dependency injection,refactor,8,,,,,,,,,,,,,,,,refactor authentication module use dependency injection,2
refactor auth to use di,refactor,5,,,,,,,,,,,,,,,,refactor auth use di,2
refactor the login module,refactor,4,,,,,,,,,,,,,,,,refactor login module,2
use di in auth,refactor,4,,,,,,,,,,,,,,,,use di auth,2
we should refactor the authentication module to use dependency injection,refactor,10,,,,,,,,,,,,,,,,refactor authentication module use dependency injection,2
i think we need to refactor the auth service to use dependency injection in our angular app,refactor,17,,angular,,,angular,,,angular,,,angular,,,angular,,think need refactor auth service use dependency injection angular app,2
can we refactor the login module to use kotlin and dependency injection,refactor,12,kotlin,,,kotlin,,,kotlin,,,kotlin,,,kotlin,,,refactor login module use kotlin dependency injection,2
i want to refactor the authentication module to use typescript and dependency injection,refactor,13,typescript,,,typescript,,,typescript,,,typescript,,,typescript,,,want refactor authentication module use typescript dependency injection,2
refactor the auth module to use dependency injection and make it more testable,refactor,13,,,,,,,,,,,,,,,,refactor auth module use dependency injection make testable,2
we need to refactor the authentication module to use dependency injection and make it more scalable,refactor,16,,,,,,,,,,,,,,,,need refactor authentication module use dependency injection make scalable,2
um so i was thinking we could refactor the auth module to use dependency injection and it would be way better,refactor,21,,,,,,,,,,,,,,,,thinking could refactor auth module use dependency injection would way well,2
i am trying to refactor the login service but i am not sure how to implement dependency injection in typescript,refactor,20,typescript,,,typescript,,,typescript,,,typescript,,,typescript,,,try refactor login service not sure how implement dependency injection typescript,2
refactor the authentication module to use dependency injection and make it more maintainable and efficient,refactor,15,,,,,,,,,,,,,,,,refactor authentication module use dependency injection make maintainable efficient,2
okay so we have this authentication module and it is a mess and we need to refactor it to use dependency injection,refactor,22,,,,,,,,,,,,,,,,authentication module mess need refactor use dependency injection,2
i dont know how to refactor the auth module to use dependency injection but i know it would be a good idea,refactor,22,,,,,,,,,,,,,,,,dont know how refactor auth module use dependency injection know would good idea,2
we should totally refactor the authentication module to use dependency injection and it would make our lives so much easier,refactor,20,,,,,,,,,,,,,,,,totally refactor authentication module use dependency injection would make life much easy,2
clean up the database service it has too many nested callbacks,refactor,11,,,,,,,,,,,,,,,,clean database service many nested callback,2
simplify database callbacks,refactor,3,,,,,,,,,,,,,,,,simplify database callback,2
refactor database service,refactor,3,,,,,,,,,,,,,,,,refactor database service,2
fix callback mess,refactor,3,,,,,,,,,,,,,,,,fix callback mess,2
can you clean up the database service it has a lot of nested callbacks,refactor,14,,,,,,,,,,,,,,,,clean database service lot nest callback,2
i need to refactor the database service to get rid of all these nested callbacks,refactor,15,,,,,,,,,,,,,,,,need refactor database service get rid nested callback,2
ugh database service has too many callbacks can we refactor it,refactor,11,,,,,,,,,,,,,,,,ugh database service many callback refactor,2
i think we should refactor the database service to make it more efficient,refactor,13,,,,,,,,,,,,,,,,think refactor database service make efficient,2
i want to refactor the django database service to use strategy pattern,refactor,12,,django,,,django,,,django,,,django,,,django,,want refactor django database service use strategy pattern,2
so the database service is really slow because of all the nested callbacks and stuff,refactor,15,,,,,,,,,,,,,,,,database service really slow nest callback stuff,2
um every time i look at the database service code i want to refactor it because its so messy,refactor,19,,,,,,,,,,,,,,,,every time look database service code want refactor messy,2
i dont know how to refactor the spring database service to make it better but we need to,refactor,18,,spring,,,spring,,,spring,,,spring,,,spring,,dont know how refactor spring database service make good need,2
i think the database service is a good candidate for refactoring because its really complex,refactor,15,,,,,,,,,,,,,,,,think database service good candidate refactoring really complex,2
okay so like the database service is all coupled and stuff and we need to refactor it to use kotlin,refactor,20,kotlin,,,kotlin,,,kotlin,,,kotlin,,,kotlin,,,database service couple stuff need refactor use kotlin,2
refactor database service its all coupled and messy and has too many nested callbacks and stuff,refactor,16,,,,,,,,,,,,,,,,refactor database service couple messy many nested callback stuff,2
convert the user controller from class based to functional,refactor,9,,,,,,,,,,,,,,,,convert user controller class base functional,2
refactor user controller to functional,refactor,5,,,,,,,,,,,,,,,,refactor user controller functional,2
change user controller to functional style,refactor,6,,,,,,,,,,,,,,,,change user controller functional style,2
make it functional,refactor,3,,,,,,,,,,,,,,,,make functional,2
can you refactor the user controller to be more functional,refactor,10,,,,,,,,,,,,,,,,refactor user controller functional,2
i need to refactor the user controller to use a functional approach,refactor,12,,,,,,,,,,,,,,,,need refactor user controller use functional approach,2
refactor user controller from class based to functional with django,refactor,10,,django,,,django,,,django,,,django,,,django,,refactor user controller class base functional django,2
i want to refactor the user controller to be more functional and efficient,refactor,13,,,,,,,,,,,,,,,,want refactor user controller functional efficient,2
how about we refactor the user controller to use a functional programming style,refactor,13,,,,,,,,,,,,,,,,how refactor user controller use functional programming style,2
so i was thinking we could refactor the user controller to be more functional and scalable,refactor,16,,,,,,,,,,,,,,,,thinking could refactor user controller functional scalable,2
lets refactor the user controller using the strategy pattern and make it more functional,refactor,14,,,,,,,,,,,,,,,,let refactor user controller use strategy pattern make functional,2
um so i have this user controller and i want to refactor it to be more functional,refactor,17,,,,,,,,,,,,,,,,user controller want refactor functional,2
ok so i am trying to refactor the user controller and i think it would be better as a functional component with react,refactor,23,,react,,,react,,,react,,,react,,,react,,ok try refactor user controller think would better functional component react,2
i am trying to refactor this user controller thing and i think it needs to be more functional and stuff,refactor,20,,,,,,,,,,,,,,,,try refactor user controller thing think need functional stuff,2
so like i am working on this user controller and i think we should refactor it to be more functional and maybe use java or something,refactor,26,java,,,java,,,java,,,java,,,java,,,work user controller think refactor functional maybe use java something,2
simplify the payment logic it is too complex,refactor,8,,,,,,,,,,,,,,,,simplify payment logic complex,2
simplify payment logic,refactor,3,,,,,,,,,,,,,,,,simplify payment logic,2
make payment code simpler,refactor,4,,,,,,,,,,,,,,,,make payment code simpler,2
refactor payment,refactor,2,,,,,,,,,,,,,,,,refactor payment,2
can we simplify the payment logic somehow,refactor,7,,,,,,,,,,,,,,,,simplify payment logic somehow,2
i think we need to refactor the payment logic to make it simpler,refactor,13,,,,,,,,,,,,,,,,think need refactor payment logic make simpler,2
the payment logic is too complex can we fix it,refactor,10,,,,,,,,,,,,,,,,payment logic complex fix,2
we should really refactor the payment system to use async await,refactor,11,,,,,,,,,,,,,,,,really refactor payment system use async await,2
payment logic is too complicated and hard to read,refactor,9,,,,,,,,,,,,,,,,payment logic complicate hard read,2
i wanna simplify the payment code using kotlin constants,refactor,9,kotlin,,,kotlin,,,kotlin,,,kotlin,,,kotlin,,,wan na simplify payment code use kotlin constant,2
the payment processing code is super complex and hard to maintain,refactor,11,,,,,,,,,,,,,,,,payment processing code super complex hard maintain,2
um so the payment logic is really confusing and i think we should break it down into smaller functions with clear names,refactor,22,,,,,,,,,,,,,,,,payment logic really confusing think break small function clear name,2
i dont know how to refactor the payment code but it looks like a mess and uses too many async awaits,refactor,21,,,,,,,,,,,,,,,,dont know how refactor payment code look mess us many async awaits,2
so like the payment service is doing too much and its all tangled up with other stuff and i dont even know where to start refactoring it,refactor,27,,,,,,,,,,,,,,,,payment service much tangle stuff dont even know where start refactoring,2
ok so the payment thing is all java and its pretty much impossible to understand what its doing can we just rewrite it in kotlin or something,refactor,27,java,,,java,,,java,,,java,,,java,,,ok payment thing java pretty much impossible understand what rewrite kotlin something,2
extract the validation logic into a separate utility file,refactor,9,,,,,,,,,,,,,,,,extract validation logic separate utility file,2
extract validation logic,refactor,3,,,,,,,,,,,,,,,,extract validation logic,2
refactor validation into separate file,refactor,5,,,,,,,,,,,,,,,,refactor validation separate file,2
move validation to utility,refactor,4,,,,,,,,,,,,,,,,move validation utility,2
can you extract the validation stuff into a separate utility file,refactor,11,,,,,,,,,,,,,,,,extract validation stuff separate utility file,2
i think we should refactor the validation logic into a separate file,refactor,12,,,,,,,,,,,,,,,,think refactor validation logic separate file,2
extract validation logic into a separate utility file already,refactor,9,,,,,,,,,,,,,,,,extract validation logic separate utility file already,2
so basically we need to refactor the validation logic into a separate file,refactor,13,,,,,,,,,,,,,,,,need refactor validation logic separate file,2
i wanna move the validation logic into a separate file using async await,refactor,13,,,,,,,,,,,,,,,,wan na move validation logic separate file use async await,2
we should totally refactor the validation logic into a separate utility file with constants,refactor,14,,,,,,,,,,,,,,,,totally refactor validation logic separate utility file constant,2
um so we need to refactor the validation logic and move it to a separate file,refactor,16,,,,,,,,,,,,,,,,need refactor validation logic move separate file,2
refactor the validation logic into a separate utility file and use dependency injection,refactor,13,,,,,,,,,,,,,,,,refactor validation logic separate utility file use dependency injection,2
i mean we gotta refactor the validation logic and move it to a separate file with react,refactor,17,,react,,,react,,,react,,,react,,,react,,mean get ta refactor validation logic move separate file react,2
so like we need to refactor the validation logic and move it to a separate file but i dont know how,refactor,21,,,,,,,,,,,,,,,,need refactor validation logic move separate file dont know how,2
okay so refactoring the validation logic into a separate file is like super important and we should use async await and react and stuff,refactor,24,,react,,,react,,,react,,,react,,,react,,refactoring validation logic separate file super important use async await react stuff,2
rename all variables in the config module to be more descriptive,refactor,11,,,,,,,,,,,,,,,,rename variable config module descriptive,2
rename config vars to be more descriptive,refactor,7,,,,,,,,,,,,,,,,rename config var descriptive,2
make config module variables more readable,refactor,6,,,,,,,,,,,,,,,,make config module variable readable,2
refactor config vars,refactor,3,,,,,,,,,,,,,,,,refactor config var,2
can you rename all the variables in the config module to be more descriptive and stuff,refactor,16,,,,,,,,,,,,,,,,rename variable config module descriptive stuff,2
i need to refactor the config module variables to be more descriptive,refactor,12,,,,,,,,,,,,,,,,need refactor config module variable descriptive,2
refactor config module to use more descriptive variable names like in spring,refactor,12,,spring,,,spring,,,spring,,,spring,,,spring,,refactor config module use descriptive variable name spring,2
rename all the variables in the config to something more descriptive,refactor,11,,,,,,,,,,,,,,,,rename variable config something descriptive,2
i want to refactor the config module to have more descriptive variables using dependency injection,refactor,15,,,,,,,,,,,,,,,,want refactor config module descriptive variable use dependency injection,2
so the config module has some pretty vague variable names that need to be refactored to be more descriptive,refactor,19,,,,,,,,,,,,,,,,config module pretty vague variable name need refactored descriptive,2
i think we should refactor the config module variables to be more descriptive and maybe use some promises,refactor,18,,,,,,,,,,,,,,,,think refactor config module variable descriptive maybe use promise,2
refactoring the config module to have more descriptive variable names would be really helpful,refactor,14,,,,,,,,,,,,,,,,refactoring config module descriptive variable name would really helpful,2
um so i was looking at the config module and the variable names are not very descriptive at all,refactor,19,,,,,,,,,,,,,,,,look config module variable name not descriptive,2
okay so i need to refactor this config module and rename all the variables to be more descriptive and stuff,refactor,20,,,,,,,,,,,,,,,,need refactor config module rename variable descriptive stuff,2
i am trying to refactor the config module but the variable names are really vague and its hard to use angular,refactor,21,,angular,,,angular,,,angular,,,angular,,,angular,,try refactor config module variable name really vague hard use angular,2
break down the monolithic api into smaller services,refactor,8,,,,,,,,,,,,,,,,break monolithic api small service,2
split api into smaller pieces,refactor,5,,,,,,,,,,,,,,,,split api small piece,2
refactor that huge api already,refactor,5,,,,,,,,,,,,,,,,refactor huge api already,2
break it down into services,refactor,5,,,,,,,,,,,,,,,,break service,2
i think we should break down the api into smaller microservices,refactor,11,,,,,,,,,,,,,,,,think break api small microservices,2
can we refactor the monolithic api into smaller java services,refactor,10,java,,,java,,,java,,,java,,,java,,,refactor monolithic api small java service,2
i need to refactor this huge kotlin api into smaller parts,refactor,11,kotlin,,,kotlin,,,kotlin,,,kotlin,,,kotlin,,,need refactor huge kotlin api small part,2
lets break down the monolithic django api into smaller async await services,refactor,12,,django,,,django,,,django,,,django,,,django,,let break monolithic django api small async await service,2
i want to refactor the api into smaller services using kotlin,refactor,11,kotlin,,,kotlin,,,kotlin,,,kotlin,,,kotlin,,,want refactor api small service use kotlin,2
so basically we need to refactor the entire monolithic api,refactor,10,,,,,,,,,,,,,,,,need refactor entire monolithic api,2
um so the api is really monolithic and we need to break it down into smaller services using async await,refactor,20,,,,,,,,,,,,,,,,api really monolithic need break small service use async await,2
i dont know how to refactor this huge monolithic api into smaller pieces but we need to,refactor,17,,,,,,,,,,,,,,,,dont know how refactor huge monolithic api small piece need,2
refactoring the monolithic api into smaller services is gonna be a huge task,refactor,13,,,,,,,,,,,,,,,,refactoring monolithic api small service gon na huge task,2
we should totally refactor the api into smaller services and use java for the backend,refactor,15,java,,,java,,,java,,,java,,,java,,,totally refactor api small service use java backend,2
i mean we could try to refactor the monolithic api into smaller services but thats gonna take a while and we need to use django for that,refactor,27,,django,,,django,,,django,,,django,,,django,,mean could try refactor monolithic api small service thats gon na take need use django,2
remove duplicated code in the data transformation layer,refactor,8,,,,,,,,,,,,,,,,remove duplicate code data transformation layer,2
remove duplicate code,refactor,3,,,,,,,,,,,,,,,,remove duplicate code,2
refactor data transformation,refactor,3,,,,,,,,,,,,,,,,refactor data transformation,2
simplify the codebase,refactor,3,,,,,,,,,,,,,,,,simplify codebase,2
can we refactor the data transformation layer to remove duplicated code,refactor,11,,,,,,,,,,,,,,,,refactor data transformation layer remove duplicate code,2
i need to refactor this module to avoid duplicated code in typescript,refactor,12,typescript,,,typescript,,,typescript,,,typescript,,,typescript,,,need refactor module avoid duplicate code typescript,2
remove duplicated code from data transformation layer using python,refactor,9,python,,,python,,,python,,,python,,,python,,,remove duplicate code data transformation layer use python,2
how do i refactor the data transformation to remove duplicated code and use promise,refactor,14,,,,,,,,,,,,,,,,how refactor data transformation remove duplicate code use promise,2
refactor data transformation layer to make it more efficient and remove duplicates,refactor,12,,,,,,,,,,,,,,,,refactor data transformation layer make efficient remove duplicate,2
i want to refactor the data transformation to remove duplicated code and improve performance,refactor,14,,,,,,,,,,,,,,,,want refactor data transformation remove duplicate code improve performance,2
so basically i have this data transformation layer with a lot of duplicated code that i want to refactor using typescript,refactor,21,typescript,,,typescript,,,typescript,,,typescript,,,typescript,,,data transformation layer lot duplicate code want refactor use typescript,2
um so every time i look at the data transformation layer i see all this duplicated code that needs to be refactored,refactor,22,,,,,,,,,,,,,,,,every time look data transformation layer see duplicate code need refactored,2
i am trying to refactor the data transformation but there is so much duplicated code it is hard to know where to start,refactor,23,,,,,,,,,,,,,,,,try refactor data transformation much duplicate code hard know where start,2
okay so i have been trying to refactor this data transformation layer for a while now but i get stuck on removing all the duplicated code,refactor,26,,,,,,,,,,,,,,,,try refactor data transformation layer get stick removing duplicate code,2
refactor data transformation to remove duplicated code and stuff like that you know what i mean,refactor,16,,,,,,,,,,,,,,,,refactor data transformation remove duplicate code stuff what mean,2
i dont know maybe im just not seeing it but how do i refactor this data transformation layer to remove all the duplicated code and make it more efficient,refactor,29,,,,,,,,,,,,,,,,dont know maybe im not see how refactor data transformation layer remove duplicate code make efficient,2
convert these promise chains to async await in the auth service,refactor,11,,,,,,,,,,,,,,,,convert promise chain async await auth service,2
refactor promise chains to async await,refactor,6,,,,,,,,,,,,,,,,refactor promise chain async await,2
convert auth service to async await,refactor,6,,,,,,,,,,,,,,,,convert auth service async await,2
make auth service use async await,refactor,6,,,,,,,,,,,,,,,,make auth service use async await,2
can you refactor these promise chains in the auth module to async await,refactor,13,,,,,,,,,,,,,,,,refactor promise chain auth module async await,2
i need to refactor the auth service to use async await instead of promises,refactor,14,,,,,,,,,,,,,,,,need refactor auth service use async await instead promise,2
refactor the auth service to use async await with strategy pattern,refactor,11,,,,,,,,,,,,,,,,refactor auth service use async await strategy pattern,2
i want to refactor the promise chains in the auth service to async await for better readability,refactor,17,,,,,,,,,,,,,,,,want refactor promise chain auth service async await good readability,2
auth service needs refactoring to use async await and java modules,refactor,11,java,,,java,,,java,,,java,,,java,,,auth service need refactoring use async await java module,2
so every time i see these promise chains in the auth service i think we should refactor to async await,refactor,20,,,,,,,,,,,,,,,,every time see promise chain auth service think refactor async await,2
um can we refactor the auth service to use async await and make it more efficient,refactor,16,,,,,,,,,,,,,,,,refactor auth service use async await make efficient,2
i am trying to refactor the auth service but i am not sure how to convert the promise chains to async await,refactor,22,,,,,,,,,,,,,,,,try refactor auth service not sure how convert promise chain async await,2
refactoring the auth service to use async await is gonna take some time but its worth it,refactor,17,,,,,,,,,,,,,,,,refactoring auth service use async await gon na take time worth,2
okay so i was thinking we could refactor the auth service to use async await and maybe use the strategy pattern to make it more flexible,refactor,26,,,,,,,,,,,,,,,,thinking could refactor auth service use async await maybe use strategy pattern make flexible,2
i dont know maybe we can refactor the auth service to use async await and see if that improves performance or something,refactor,22,,,,,,,,,,,,,,,,dont know maybe refactor auth service use async await see improves performance something,2
move all hardcoded strings to a constants file,refactor,8,,,,,,,,,,,,,,,,move hardcoded strings constant file,2
move hardcoded strings to constants,refactor,5,,,,,,,,,,,,,,,,move hardcoded string constant,2
refactor to use constants file,refactor,5,,,,,,,,,,,,,,,,refactor use constant file,2
put strings in a constants file,refactor,6,,,,,,,,,,,,,,,,put string constant file,2
can we move all these hardcoded strings to a constants file already,refactor,12,,,,,,,,,,,,,,,,move hardcoded strings constant file already,2
i think we should move hardcoded strings to a constants file for dependency injection,refactor,14,,,,,,,,,,,,,,,,think move hardcoded strings constant file dependency injection,2
we need to refactor these hardcoded strings into a constants file using spring,refactor,13,,spring,,,spring,,,spring,,,spring,,,spring,,need refactor hardcoded string constant file use spring,2
i want to refactor this code to use a constants file with typescript,refactor,13,typescript,,,typescript,,,typescript,,,typescript,,,typescript,,,want refactor code use constant file typescript,2
lets move all hardcoded strings to a constants file to make the code more readable,refactor,15,,,,,,,,,,,,,,,,let move hardcoded strings constant file make code readable,2
i think it would be better if we moved all these hardcoded strings to a constants file and used dependency injection,refactor,21,,,,,,,,,,,,,,,,think would better move hardcoded string constant file use dependency injection,2
we should totally refactor this to use a constants file and promises for better error handling,refactor,16,,,,,,,,,,,,,,,,totally refactor use constant file promise well error handle,2
so basically we need to move all hardcoded strings to a constants file to make the code more maintainable and scalable,refactor,21,,,,,,,,,,,,,,,,need move hardcoded strings constant file make code maintainable scalable,2
i am trying to refactor this code to use a constants file but i am not sure how to handle the dependency injection with spring,refactor,25,,spring,,,spring,,,spring,,,spring,,,spring,,try refactor code use constant file not sure how handle dependency injection spring,2
um so i was thinking we could move all the hardcoded strings to a constants file and then use typescript to make it more modular,refactor,25,typescript,,,typescript,,,typescript,,,typescript,,,typescript,,,thinking could move hardcoded strings constant file use typescript make modular,2
ok so like we have all these hardcoded strings everywhere and i think we should refactor them to use a constants file but i dont know where to start with the dependency injection and promise handling,refactor,36,,,,,,,,,,,,,,,,ok hardcoded string everywhere think refactor use constant file dont know where start dependency injection promise handling,2
split this thousand line file into separate modules,refactor,8,,,,,,,,,,,,,,,,split thousand line file separate module,2
break up this huge file,refactor,5,,,,,,,,,,,,,,,,break huge file,2
split this code into modules,refactor,5,,,,,,,,,,,,,,,,split code module,2
refactor this big file,refactor,4,,,,,,,,,,,,,,,,refactor big file,2
can you break down this massive file into smaller pieces,refactor,10,,,,,,,,,,,,,,,,break massive file small piece,2
